class,old_path,new_path,old_filename,new_filename
dog,data\raw\dog\OIF-e2bexWrojgtQnAPPcUfOWQ.jpeg,data\raw\dog\dog_00001.jpg,OIF-e2bexWrojgtQnAPPcUfOWQ.jpeg,dog_00001.jpg
dog,data\raw\dog\OIP---_cJbI6Ei26w5bW1urHewHaCf.jpeg,data\raw\dog\dog_00002.jpg,OIP---_cJbI6Ei26w5bW1urHewHaCf.jpeg,dog_00002.jpg
dog,data\raw\dog\OIP---A27bIBcUgX1qkbpZOPswHaFS.jpeg,data\raw\dog\dog_00003.jpg,OIP---A27bIBcUgX1qkbpZOPswHaFS.jpeg,dog_00003.jpg
dog,data\raw\dog\OIP---cByAiEbIxIAleGo9AqOQAAAA.jpeg,data\raw\dog\dog_00004.jpg,OIP---cByAiEbIxIAleGo9AqOQAAAA.jpeg,dog_00004.jpg
dog,data\raw\dog\OIP---ZIdwfUcJeVxnh47zppcQHaFj.jpeg,data\raw\dog\dog_00005.jpg,OIP---ZIdwfUcJeVxnh47zppcQHaFj.jpeg,dog_00005.jpg
dog,data\raw\dog\OIP---ZRsOF7zsMqhW30WeF8-AHaFj.jpeg,data\raw\dog\dog_00006.jpg,OIP---ZRsOF7zsMqhW30WeF8-AHaFj.jpeg,dog_00006.jpg
dog,data\raw\dog\OIP--0C2kq6I68beB3DduLoxMgHaEf.jpeg,data\raw\dog\dog_00007.jpg,OIP--0C2kq6I68beB3DduLoxMgHaEf.jpeg,dog_00007.jpg
dog,data\raw\dog\OIP--0CZnfLuBERVtzRm2QbB3gHaK4.jpeg,data\raw\dog\dog_00008.jpg,OIP--0CZnfLuBERVtzRm2QbB3gHaK4.jpeg,dog_00008.jpg
dog,data\raw\dog\OIP--1QXriWyOTJg-9fEwbznmgHaI4.jpeg,data\raw\dog\dog_00009.jpg,OIP--1QXriWyOTJg-9fEwbznmgHaI4.jpeg,dog_00009.jpg
dog,data\raw\dog\OIP--2uTtzjaszBfEMCROuLN3wHaLH.jpeg,data\raw\dog\dog_00010.jpg,OIP--2uTtzjaszBfEMCROuLN3wHaLH.jpeg,dog_00010.jpg
dog,data\raw\dog\OIP--2z_zAuTMzgYM_KynUl9CQHaE7.jpeg,data\raw\dog\dog_00011.jpg,OIP--2z_zAuTMzgYM_KynUl9CQHaE7.jpeg,dog_00011.jpg
dog,data\raw\dog\OIP--565fkAJy3DoFs81C9uE1QHaEY.jpeg,data\raw\dog\dog_00012.jpg,OIP--565fkAJy3DoFs81C9uE1QHaEY.jpeg,dog_00012.jpg
dog,data\raw\dog\OIP--6mVvk2SFEi7TxqtyMbdvgHaEK.jpeg,data\raw\dog\dog_00013.jpg,OIP--6mVvk2SFEi7TxqtyMbdvgHaEK.jpeg,dog_00013.jpg
dog,data\raw\dog\OIP--6UY_QQC69uZF4CrwEcfUQHaHa.jpeg,data\raw\dog\dog_00014.jpg,OIP--6UY_QQC69uZF4CrwEcfUQHaHa.jpeg,dog_00014.jpg
dog,data\raw\dog\OIP--7xBAVJkrjDLNCknR2fuKgHaHa.jpeg,data\raw\dog\dog_00015.jpg,OIP--7xBAVJkrjDLNCknR2fuKgHaHa.jpeg,dog_00015.jpg
dog,data\raw\dog\OIP--8oCad9Nr69Ol4YEkvXJFQHaNK.jpeg,data\raw\dog\dog_00016.jpg,OIP--8oCad9Nr69Ol4YEkvXJFQHaNK.jpeg,dog_00016.jpg
dog,data\raw\dog\OIP--90_fw5Y28UC44KVSPuxdAHaJ3.jpeg,data\raw\dog\dog_00017.jpg,OIP--90_fw5Y28UC44KVSPuxdAHaJ3.jpeg,dog_00017.jpg
dog,data\raw\dog\OIP--9pxEn5HUPsqA38ao3O7TgHaGV.jpeg,data\raw\dog\dog_00018.jpg,OIP--9pxEn5HUPsqA38ao3O7TgHaGV.jpeg,dog_00018.jpg
dog,data\raw\dog\OIP--AzXmxzRD9y3THnVByTtLwHaG5.jpeg,data\raw\dog\dog_00019.jpg,OIP--AzXmxzRD9y3THnVByTtLwHaG5.jpeg,dog_00019.jpg
dog,data\raw\dog\OIP--BKXxWj6jk2y8_PQbxmJ0gHaE9.jpeg,data\raw\dog\dog_00020.jpg,OIP--BKXxWj6jk2y8_PQbxmJ0gHaE9.jpeg,dog_00020.jpg
dog,data\raw\dog\OIP--BUglHhzleeaUXxOXNbgRQHaEK.jpeg,data\raw\dog\dog_00021.jpg,OIP--BUglHhzleeaUXxOXNbgRQHaEK.jpeg,dog_00021.jpg
dog,data\raw\dog\OIP--cyBTQeGHK_bTaYGIDNn7AHaLE.jpeg,data\raw\dog\dog_00022.jpg,OIP--cyBTQeGHK_bTaYGIDNn7AHaLE.jpeg,dog_00022.jpg
dog,data\raw\dog\OIP--DQsiH-9LglDNlEvJpZQZQHaFw.jpeg,data\raw\dog\dog_00023.jpg,OIP--DQsiH-9LglDNlEvJpZQZQHaFw.jpeg,dog_00023.jpg
dog,data\raw\dog\OIP--DqSseJFuaBH5t89CubEwAHaE8.jpeg,data\raw\dog\dog_00024.jpg,OIP--DqSseJFuaBH5t89CubEwAHaE8.jpeg,dog_00024.jpg
dog,data\raw\dog\OIP--EJV-0S_RAhDQbtUA8HhoAHaGi.jpeg,data\raw\dog\dog_00025.jpg,OIP--EJV-0S_RAhDQbtUA8HhoAHaGi.jpeg,dog_00025.jpg
dog,data\raw\dog\OIP--GlCH31Wry6Uj4tAHTnIUwHaJv.jpeg,data\raw\dog\dog_00026.jpg,OIP--GlCH31Wry6Uj4tAHTnIUwHaJv.jpeg,dog_00026.jpg
dog,data\raw\dog\OIP--GnTjiWNoY2Djyb3v7WXAgHaE7.jpeg,data\raw\dog\dog_00027.jpg,OIP--GnTjiWNoY2Djyb3v7WXAgHaE7.jpeg,dog_00027.jpg
dog,data\raw\dog\OIP--hIXMAfOrmjSfDzjHHoZmwHaFj.jpeg,data\raw\dog\dog_00028.jpg,OIP--hIXMAfOrmjSfDzjHHoZmwHaFj.jpeg,dog_00028.jpg
dog,data\raw\dog\OIP--HjjWS524SecIyPDEh8GNgHaJ4.jpeg,data\raw\dog\dog_00029.jpg,OIP--HjjWS524SecIyPDEh8GNgHaJ4.jpeg,dog_00029.jpg
dog,data\raw\dog\OIP--HP-Jp3xDbJcfnayqlP7GwHaE7.jpeg,data\raw\dog\dog_00030.jpg,OIP--HP-Jp3xDbJcfnayqlP7GwHaE7.jpeg,dog_00030.jpg
dog,data\raw\dog\OIP--hrVyxBHfXGXIpLKB_ld2AHaEK.jpeg,data\raw\dog\dog_00031.jpg,OIP--hrVyxBHfXGXIpLKB_ld2AHaEK.jpeg,dog_00031.jpg
dog,data\raw\dog\OIP--iPPduM2--389E1lozUz_QHaFj.jpeg,data\raw\dog\dog_00032.jpg,OIP--iPPduM2--389E1lozUz_QHaFj.jpeg,dog_00032.jpg
dog,data\raw\dog\OIP--ittZIBa1ox84GW8FmIWAwHaGH.jpeg,data\raw\dog\dog_00033.jpg,OIP--ittZIBa1ox84GW8FmIWAwHaGH.jpeg,dog_00033.jpg
dog,data\raw\dog\OIP--iVoSrHMWX0IG2rxuA5CsgHaFj.jpeg,data\raw\dog\dog_00034.jpg,OIP--iVoSrHMWX0IG2rxuA5CsgHaFj.jpeg,dog_00034.jpg
dog,data\raw\dog\OIP--j4ILLV3OBiP1WFx0l7GiQHaFc.jpeg,data\raw\dog\dog_00035.jpg,OIP--j4ILLV3OBiP1WFx0l7GiQHaFc.jpeg,dog_00035.jpg
dog,data\raw\dog\OIP--jqyES48oZ9OFI3kFadEggHaEk.jpeg,data\raw\dog\dog_00036.jpg,OIP--jqyES48oZ9OFI3kFadEggHaEk.jpeg,dog_00036.jpg
dog,data\raw\dog\OIP--khXa4p9B3QV8JmsHX29hgHaEK.jpeg,data\raw\dog\dog_00037.jpg,OIP--khXa4p9B3QV8JmsHX29hgHaEK.jpeg,dog_00037.jpg
dog,data\raw\dog\OIP--KlpwG173pm-gl9aWQkm9gHaE8.jpeg,data\raw\dog\dog_00038.jpg,OIP--KlpwG173pm-gl9aWQkm9gHaE8.jpeg,dog_00038.jpg
dog,data\raw\dog\OIP--L1ZAWylA3UTTMGC0_WF0wHaIA.jpeg,data\raw\dog\dog_00039.jpg,OIP--L1ZAWylA3UTTMGC0_WF0wHaIA.jpeg,dog_00039.jpg
dog,data\raw\dog\OIP--LafQFfr5Kd-NMLdQYKKNQHaER.jpeg,data\raw\dog\dog_00040.jpg,OIP--LafQFfr5Kd-NMLdQYKKNQHaER.jpeg,dog_00040.jpg
dog,data\raw\dog\OIP--lnCqw9ajSJK5CxuFZo2TwHaFb.jpeg,data\raw\dog\dog_00041.jpg,OIP--lnCqw9ajSJK5CxuFZo2TwHaFb.jpeg,dog_00041.jpg
