path,label,fold
data/processed/64x64/cat/cat_00007.jpg,cat,0
data/processed/64x64/cat/cat_00015.jpg,cat,0
data/processed/64x64/cat/cat_00016.jpg,cat,0
data/processed/64x64/cat/cat_00018.jpg,cat,0
data/processed/64x64/cat/cat_00027.jpg,cat,0
data/processed/64x64/cat/cat_00031.jpg,cat,0
data/processed/64x64/cat/cat_00033.jpg,cat,0
data/processed/64x64/cat/cat_00035.jpg,cat,0
data/processed/64x64/cat/cat_00043.jpg,cat,0
data/processed/64x64/cat/cat_00047.jpg,cat,0
data/processed/64x64/cat/cat_00065.jpg,cat,0
data/processed/64x64/cat/cat_00069.jpg,cat,0
data/processed/64x64/cat/cat_00082.jpg,cat,0
data/processed/64x64/cat/cat_00085.jpg,cat,0
data/processed/64x64/cat/cat_00089.jpg,cat,0
data/processed/64x64/cat/cat_00098.jpg,cat,0
data/processed/64x64/cat/cat_00101.jpg,cat,0
data/processed/64x64/cat/cat_00106.jpg,cat,0
data/processed/64x64/cat/cat_00108.jpg,cat,0
data/processed/64x64/cat/cat_00109.jpg,cat,0
data/processed/64x64/cat/cat_00128.jpg,cat,0
data/processed/64x64/cat/cat_00133.jpg,cat,0
data/processed/64x64/cat/cat_00136.jpg,cat,0
data/processed/64x64/cat/cat_00138.jpg,cat,0
data/processed/64x64/cat/cat_00141.jpg,cat,0
data/processed/64x64/cat/cat_00151.jpg,cat,0
data/processed/64x64/cat/cat_00155.jpg,cat,0
data/processed/64x64/cat/cat_00162.jpg,cat,0
data/processed/64x64/cat/cat_00164.jpg,cat,0
data/processed/64x64/cat/cat_00171.jpg,cat,0
data/processed/64x64/cat/cat_00179.jpg,cat,0
data/processed/64x64/cat/cat_00185.jpg,cat,0
data/processed/64x64/cat/cat_00187.jpg,cat,0
data/processed/64x64/cat/cat_00191.jpg,cat,0
data/processed/64x64/cat/cat_00196.jpg,cat,0
data/processed/64x64/cat/cat_00199.jpg,cat,0
data/processed/64x64/cat/cat_00201.jpg,cat,0
data/processed/64x64/cat/cat_00205.jpg,cat,0
data/processed/64x64/cat/cat_00213.jpg,cat,0
data/processed/64x64/cat/cat_00215.jpg,cat,0
data/processed/64x64/cat/cat_00220.jpg,cat,0
data/processed/64x64/cat/cat_00227.jpg,cat,0
data/processed/64x64/cat/cat_00234.jpg,cat,0
data/processed/64x64/cat/cat_00242.jpg,cat,0
data/processed/64x64/cat/cat_00250.jpg,cat,0
data/processed/64x64/cat/cat_00251.jpg,cat,0
data/processed/64x64/cat/cat_00257.jpg,cat,0
data/processed/64x64/cat/cat_00262.jpg,cat,0
data/processed/64x64/cat/cat_00271.jpg,cat,0
data/processed/64x64/cat/cat_00279.jpg,cat,0
data/processed/64x64/cat/cat_00281.jpg,cat,0
data/processed/64x64/cat/cat_00294.jpg,cat,0
data/processed/64x64/cat/cat_00299.jpg,cat,0
data/processed/64x64/cat/cat_00302.jpg,cat,0
data/processed/64x64/cat/cat_00306.jpg,cat,0
data/processed/64x64/cat/cat_00310.jpg,cat,0
data/processed/64x64/cat/cat_00314.jpg,cat,0
data/processed/64x64/cat/cat_00315.jpg,cat,0
data/processed/64x64/cat/cat_00323.jpg,cat,0
data/processed/64x64/cat/cat_00325.jpg,cat,0
data/processed/64x64/cat/cat_00343.jpg,cat,0
data/processed/64x64/cat/cat_00344.jpg,cat,0
data/processed/64x64/cat/cat_00355.jpg,cat,0
data/processed/64x64/cat/cat_00357.jpg,cat,0
data/processed/64x64/cat/cat_00361.jpg,cat,0
data/processed/64x64/cat/cat_00366.jpg,cat,0
data/processed/64x64/cat/cat_00382.jpg,cat,0
data/processed/64x64/cat/cat_00383.jpg,cat,0
data/processed/64x64/cat/cat_00393.jpg,cat,0
data/processed/64x64/cat/cat_00406.jpg,cat,0
data/processed/64x64/cat/cat_00412.jpg,cat,0
data/processed/64x64/cat/cat_00415.jpg,cat,0
data/processed/64x64/cat/cat_00439.jpg,cat,0
data/processed/64x64/cat/cat_00441.jpg,cat,0
data/processed/64x64/cat/cat_00444.jpg,cat,0
data/processed/64x64/cat/cat_00449.jpg,cat,0
